Cmdline: /data/bin/simpleperf record -p 19357 -o /sdcard/perf_19357.data --duration 360
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 754961
Event count: 347477464523

Children  Self   Command          Pid    Tid    Shared Object                                                                         Symbol
0.03%     0.03%  Thread-59        19357  21219  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a048]
0.03%     0.03%  Thread-59        19357  21209  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  21209  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.03%     0.03%  Thread-59        19357  21220  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.view.View.draw
0.03%     0.03%  Thread-59        19357  21211  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.03%     0.03%  tutu.ABenchMark  19357  19357  /system/lib64/libc.so                                                                 ifree
0.03%     0.03%  RenderThread     19357  19825  [kernel.kallsyms]                                                                     __bpf_prog_run
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a424]
0.03%     0.03%  Thread-59        19357  21208  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.03%     0.03%  Thread-59        19357  21212  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.03%     0.03%  Thread-59        19357  20290  [kernel.kallsyms]                                                                     get_page_from_freelist_internal
0.03%     0.03%  Thread-59        19357  20290  [kernel.kallsyms]                                                                     __bpf_prog_run
0.03%     0.03%  RenderThread     19357  19825  [kernel.kallsyms]                                                                     binder_transaction
0.03%     0.03%  tutu.ABenchMark  19357  19357  /system/lib64/libutils.so                                                             android::Looper::pollInner(int)
0.03%     0.03%  tutu.ABenchMark  19357  19357  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/oat/arm64/base.odex          com.nineoldandroids.animation.ValueAnimator.animateValue
0.03%     0.03%  Thread-59        19357  21127  [kernel.kallsyms]                                                                     el0_da
0.03%     0.03%  Thread-59        19357  21212  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a444]
0.03%     0.03%  tutu.ABenchMark  19357  19357  /system/lib64/libart.so                                                               art::Mutex::ExclusiveLock(art::Thread*)
0.03%     0.03%  Thread-59        19357  21215  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
